"","Region","Primary.Constituent.Home.Address.City","count","total_pred_gifts"
"1","Central","Cincinnati",65,105678.294906616
"2","Central","South Bend",52,78960.3310699463
"3","Central","Indianapolis",48,75494.3549194336
"4","Central","Columbus",47,72213.9646453858
"5","Central","Pittsburgh",36,52162.7351379394
"6","East Coast","Charlotte",34,39810.4968414307
"7","East Coast","Alexandria",32,55214.6869506836
"8","East Coast","Atlanta",31,42243.2632141113
"9","East Coast","Nashville",19,46045.0894317627
"10","East Coast","Philadelphia",17,29289.575088501
"11","Illinois","Chicago",308,364426.548828125
"12","Illinois","Naperville",38,55626.4329376221
"13","Illinois","Arlington Heights",25,40702.8177947998
"14","Illinois","Glen Ellyn",24,38845.1674499512
"15","Illinois","Elmhurst",23,37789.207321167
"16","NY Metro","New York",150,125171.224685669
"17","NY Metro","Buffalo",19,10569.0033950806
"18","NY Metro","Brooklyn",18,17556.8296051025
"19","NY Metro","Rochester",18,20578.098236084
"20","NY Metro","Westfield",13,17489.8039321899
"21","Northwest","Minneapolis",61,51440.5318565369
"22","Northwest","Seattle",47,21808.0428123474
"23","Northwest","Saint Paul",37,24408.5124092102
"24","Northwest","Omaha",34,19819.0015029907
"25","Northwest","Portland",33,18007.4634685516
"26","Southern","Houston",73,107966.189170837
"27","Southern","Dallas",61,100422.98928833
"28","Southern","Saint Louis",61,100551.031867981
"29","Southern","Austin",49,65764.4906616211
"30","Southern","Naples",25,33631.635925293
"31","Southwest","San Diego",54,37548.1778297424
"32","Southwest","Denver",49,19729.5960121155
"33","Southwest","Phoenix",36,21536.739315033
"34","Southwest","Colorado Springs",28,18877.7975635528
"35","Southwest","Scottsdale",28,20586.6801071167
